,target
174,172.94106372405835
175,-152.28301056441853
176,-96.5367792457731
177,-172.7621452803748
178,-19.009397426640387
179,-108.71380896520314
180,-16.31919529957997
181,-60.38900391905762
182,-76.484795554381
183,66.5819153493074
184,-69.77117698270372
185,87.39889404051269
186,-58.57703470332955
187,-111.17295625081087
188,-79.08037307393674
189,184.18603172692534
190,-42.7103496518968
191,217.97689937701048
192,-57.4388665584383
193,-86.13577081250875
194,46.00538359258989
195,0.706511870127523
196,70.81008475695181
197,-63.7571399083745
198,207.78723889344468
199,-138.9678304787398
200,-97.09182748687013
201,-115.0762121270289
202,22.686223637891132
203,53.240643661293895
204,149.2253673106533
205,47.871924106906235
206,90.1138632151022
207,171.66881499419623
208,-270.5720600859923
209,-175.14522610751794
210,-107.14412683998485
211,-82.85127689037192
212,27.41497770244487
213,-51.516171693024866
214,77.28489505264443
215,-20.4118278060655
216,-53.98841697109364
217,-30.58725583437113
218,65.19329957976518
219,90.05751122567862
220,-83.21181049396992
221,-149.11213284876249
222,48.84658019412978
223,235.70788052473995
224,-48.71336991984758
225,15.488004762118248
226,-60.62524214734189
227,12.1235661357829
228,8.318785237847793
229,37.352833352481966
230,114.11934342724713
231,18.50979071872834
232,-109.67081250316733
233,45.778348220406336
234,96.57924937793203
235,-91.11285494206136
236,-177.98737701578133
237,168.1609945087052
238,106.2941992856588
239,62.87271584762413
240,-10.796549036256932
241,-25.666485707210683
242,-48.89930656937886
243,-173.10801483326352
244,-65.42648686014807
245,-28.522618691607
246,-171.86282917588161
247,-29.89887478000633
248,33.2118514740237
249,-123.93634985301583
250,15.978087206656275
251,-1.2965312012030914
252,-255.253025626378
253,-256.26131328267684
254,-167.51814221566562
255,47.39794710467228
256,128.5693019223851
257,71.23019310013909
258,117.3660709110882
259,93.97930613636177
260,20.226582062509358
261,-306.23237447924896
262,186.28885100651172
263,-130.41230506332167
264,-45.724744492625746
265,-85.15019512627381
266,-88.82169738784755
267,135.07755086230605
268,160.66751307933956
269,-42.25406435140701
270,-142.5314669378103
271,111.88814808887099
272,-21.965534628722583
273,86.4423650382547
274,104.64918953704091
275,25.04995311476099
276,-52.15383715976294
277,-28.39984533548391
278,28.748867541244543
279,71.12911186736522
280,26.171682369401253
281,-129.11702940304525
282,-15.437270780316924
283,-13.968611103656787
284,-128.73490717247412
285,162.12137086235205
286,-12.298866609656166
287,-134.28567974512407
288,205.47318434994003
289,46.92451753856541
290,91.70526636557125
291,29.44876019269509
292,205.31961976012687
293,-40.042174664839834
294,-33.70522874526896
295,-43.34213548533077
296,51.01890350355472
297,-64.46965964347457
298,93.40835982881546
299,-86.27018322644807
300,-97.45667755198188
301,-24.635121482915224
302,-92.64249663880032
303,-25.70015021102221
304,59.927364717777486
305,-35.33814567444616
306,-74.39938760514194
307,-179.7132705442309
308,-163.97366168367225
309,38.825555265298824
310,81.7194511441028
311,301.63777573196757
312,128.10023484456514
313,129.01043926994208
314,50.477208990980756
315,-22.876219498083827
316,182.84888511012497
317,-60.273516708541116
318,127.73724030342794
319,151.30826003464958
320,-34.33540377524296
321,-205.01142076214052
322,-99.97532405501448
323,4.386862529983502
324,-46.18975612809598
325,-39.10839331452807
326,157.26350554551956
327,132.3991629481661
328,24.20048438193742
329,-90.90945701757131
330,185.54521887476176
331,-64.98392199608351
332,65.64949229614682
333,77.78179530229379
334,98.25097888085611
335,-106.88637159528997
336,111.88054355719754
337,-36.163817316210725
338,87.12332799556191
339,-82.09117743032458
340,-203.3801853997596
341,156.1086592332818
342,-94.59394978074509
343,63.67914074624285
344,124.66166328334666
345,29.706450559746774
346,-176.89270483770372
347,-35.609340891783056
348,-49.58906759282455
349,-118.74877481269644
350,8.985044127685937
351,-88.99208521553936
352,-40.14009268332119
353,-166.3634671797531
354,-221.1724287378934
355,3.7652418770179916
356,-206.83072547320097
357,183.6183565238991
358,-10.908054383644467
359,18.66447891932712
360,31.52412941019126
361,240.87400604594214
362,-27.848187772453212
363,134.90079993497386
364,56.40680469457641
365,8.655342038472064
366,-88.10061275377868
367,-11.3350690282791
368,220.73222157826999
369,-16.03492605660248
370,-137.37987202445606
371,-52.174699695727924
372,-93.93593864025368
373,6.679251680694443
374,-17.803031705359757
375,-65.29377879910174
376,-17.64875201212598
377,-172.99324265345712
378,-123.62731096694236
379,43.07415161837184
380,-37.90695330260078
381,-158.63004106077378
382,86.38034127731149
383,-1.8704411279692712
384,132.56563778571183
385,-47.30665918289768
386,2.987781064324623
387,172.586234763439
388,170.6374970372559
389,44.926129324568436
390,-28.813240768538492
391,58.40933858577129
392,110.33365720355766
393,-38.66954605793411
394,-69.47941576136704
395,-82.92803666858029
396,-188.59304915986095
397,125.60928193917982
398,62.84128452839543
399,56.28382032958385
